code, width, action, veg, votes, height
f01*k<n>9i,16,sell,Turnip,1470,   1.97
q61*p<s>6e,14,sell,Broccoli,404,   2.00
c29*z<k>1b,7,buy,Corn,617,   1.82
l110s<y>5t,19,sell,Turnip,2086,   1.82
s00*h<n>5x,12,sell,Parsnip,2450,   2.05
l67*o<n>1h,21,sell,Marrow,2595,   1.02
z41*e<q>9s,5,buy,Potato,1646,   1.81
p12*D<f>1a,16,sell,Turnip,2974,   1.04
u18*r<s>5o,21,sell,Okra,1290,   2.08
d64*b<x>8y,23,sell,Parsnip,530,   2.10
b32*f<x>2x,15,buy,Parsnip,1413,   1.95
f92*h<c>5p,9,sell,Kale,2825,   1.86
v14*a<a>0f,12,sell,Leek,783,   1.98
h84*z<o>9q,12,sell,Turnip,2008,   1.90
f79*r<r>4h,12,sell,Yam,351,   1.95
y42*y<y>7s,14,sell,Kale,2907,   1.88
m65*q<y>1l,9,sell,Kale,258,   2.06
w63*y<h>4e,7,sell,Okra,1503,   1.83
x12*t<q>4p,9,sell,Beetroot,1994,   1.68
p48*a<a>0t,10,buy,Yam,1521,   1.84
i37*n<y>5b,14,sell,Pea,1718,   2.04
f67*f<l>2k,8,sell,Carrot,1541,   1.99
c73*g<p>0a,10,sell,Pea,2334,   1.74
o11*g<g>0o,9,buy,Potato,489,   2.03
t78*e<w>0u,6,sell,Okra,1801,   1.25
a21*x<l>4m,20,buy,Corn,2477,   2.12
m00*c<u>9b,23,sell,Corn,1204,   2.01
x72*v<m>7r,10,sell,Kale,2765,   2.03
c15*a<p>8p,12,sell,Yam,2211,   1.84
a0!5*d<p>5a,20,sell,Kale,2455,   1.82
o86*g<s>2z,10,sell,Leek,2504,   2.10
f30*5v<p>1v,8,sell,Parsnip,2092,   1.82
b80*i<t>4w,10,sell,Swede,1411,   1.85
e16*s<j>7m,16,buy,Corn,61,   2.15
v14*X<b>9v,18,sell,Yam,2431,   1.91
t48*w<s>4q,20,sell,Leek,620,   1.99
e07*l<i>7s,9,buy,Pea,1263,   2.03
y92*f<f>7q,12,sell,Leek,304,   1.39
v49*t<n>9u,8,buy,Swede,1229,   1.14
l89*p<r>6u,18,buy,Onion,1635,   1.82
f88*w<f2d,10,sell,Okra,586,   2.03
a93*y<r>2g,19,buy,Potato,2609,   1.57
g09*j<b>7d,5,sell,Okra,1467,   2.05
b96*x<>4e,10,sell,Sprout,2028,   1.94
r39*v<s>6e,10,buy,Parsnip,328,   1.96
b74*m<t>9t,19,buy,Marrow,2298,   1.06
j72*g<s>3p,13,buy,Marrow,2335,   2.01
o14*z<t>2k,9,sell,Potato,857,   1.69
g75*f<m>1m,9,sell,Marrow,1502,   1.18
h52*xZq>3z,11,buy,Marrow,548,   2.07
h32*e<e>e1c,7,buy,Corn,625,   1.32
k96*f<v>3w,18,sell,Swede,885,   2.13
k08*m<w>9w,11,sell,Okra,2299,   2.00
e61*n<x>5o,9,sell,Okra,1659,   1.99
g06*i<g>+t,9,sell,Okra,63,   2.11
s61*d<a>2w,5,sell,Leek,1178,   1.41
z50*g<d>9o,6,sell,Leek,1219,   1.37
x81*k<k>0i,10,buy,Turnip,590,   1.45
v27*o<v>7c,24,buy,Pea,2944,   1.45
j12*i<d>9e,5,sell,Potato,2266,   1.79
k93*u<f>1x,10,buy,Turnip,1818,   1.85
a68*c<hB4e,5,buy,Leek,2527,   2.05
w05*h<l>9f,12,sell,Sprout,2290,   1.17
l12*q<i>3m,13,buy,Cabbage,2406,   2.02
r16*k<f>6e,21,sell,Squash,2632,   1.85
m81*w<h>6a,18,buy,Parsnip,734,   2.11
u4*j<w>8n,7,sell,Leek,1496,   1.91
w34*o<i>0r,10,sell,Sprout,2,   1.95
s36*n<l>5f,18,sell,Potato,2756,   2.08
h55*h<u>9t,9,buy,Leek,1353,   2.10
q19*d<v>4v,6,sell,Yam,1696,   1.87
s50*s<nD0t,10,sell,Okra,1908,   1.87
v77*x<e>9u,22,sell,Turnip,410,   0.78
h41*p<i>8j,12,sell,Pea,1756,   2.07
l83*p<w>1g,12,buy,Pea,1943,   1.99
a95*l<g>5c,20,sell,Kale,362,   1.84
q80*y<n>2p,10,buy,Marrow,1860,   2.06
h51*t<p>0m,12,sell,Okra,2952,   2.03
q11*t<f>9s,6,buy,Potato,2415,   1.42
w10*s<z>0z,19,buy,Sprout,2674,   2.02
r44y<l>4o,10,sell,Pea,2737,   2.14
q86*f<z>2m,13,sell,Marrow,1723,   1.91
n66*o<p>2g,19,buy,Swede,2205,   1.32
x18*g<f>6d,9,sell,Swede,1803,   2.09
k71*h<r>0x,11,sell,Leek,2750,   1.80
b79*m<v>8k,7,sell,Turnip,2417,   2.02
m43*i<m>6o,8,sell,Leek,1167,   1.92
l41*y<h>9u,8,buy,Leek,2197,   1.85
y34*b<d>9s,14,sell,Pea,2267,   1.47
v37*a<v>9a,7,sell,Corn,2276,   2.13
t80*v<x>8r,11,sell,Sprout,2540,   1.06
n30*b<x>2e,8,buy,Cabbage,1498,   0.97
o18*u<h>7n,18,sell,Marrow,1823,   1.95
p61*t<a>2i,12,buy,Leek,2821,   1.86
y05*a<g>1b,15,sell,Potato,1114,   1.82
e46*x<t>2x,5,buy,Kale,886,   1.84
p60*b<r>2o,9,sell,Mooli,2157,   1.84
a69*y<b>4j,18,sell,Okra,1205,   1.94
s824c<u>0x,8,sell,Okra,512,   2.04
i09*v<d>7k,17,buy,Leek,2862,   2.02
p69*l<s>k2y,5,sell,Okra,1392,   1.78
c22*i<w>2t,13,buy,Swede,836,   2.15
w97*y<s>1i,5,sell,Parsnip,1550,   1.84
c51*eO<m>7x,12,sell,Marrow,2671,   1.92
l58*b<s>7k,22,sell,Marrow,241,   2.09
c85*g<q>3a,12,sell,Marrow,1967,   1.62
a53*n<n>4y,10,sell,Mooli,1048,   1.84
l1%*i<t>4i,8,sell,Kale,1887,   1.84
b!26*h<y>0i,16,buy,Yam,2276,   2.01
x24*a<w>2l,13,sell,Parsnip,1691,   2.03
j47*h<a>5i,6,sell,Carrot,70,   1.92
i08*m<b>0k,23,sell,Kale,1785,   1.97
b22*k<v>8b,9,sell,Corn,2683,   1.88
y63*s<n>1x,10,sell,Marrow,2214,   1.85
y62*q<j>5x,9,sell,Potato,964,   1.85
w68*f<u>8e,8,sell,Leek,64,   1.29
v27*n<h>7v,7,buy,Parsnip,2865,   2.15
q42*i<k>6y,5,buy,Marrow,1342,   2.05
i46*z<h>3l,10,sell,Marrow,2040,   2.08
v82*s<v>6q,14,sell,Mooli,2402,   1.98
n13*m<w>5r,11,sell,Potato,2693,   1.98
711*n<j>3o,8,sell,Parsnip,2150,   2.14
z66*i<d>9v,6,buy,Squash,1013,   1.28
y43*z<a>5f,13,sell,Marrow,1996,   1.58
a41*l<i>9v,17,sell,Kale,883,   2.06
e40*d<g>5j,21,sell,Carrot,2731,   1.85
w74*e<k0i,15,buy,Swede,107,   1.99
h56*b<u>9s,8,sell,Sprout,2660,   1.83
o22*l<p>0z,12,buy,Turnip,1291,   2.00
e80*s<e1k,12,sell,Cabbage,1077,   1.54
o77*j<d>2t,21,sell,Turnip,507,   2.13
b53*h<j>4n,7,sell,Kale,2251,   0.90
n47*f<i>3y,8,sell,Marrow,743,   1.90
r66*h<v>0e,22,buy,Parsnip,2829,   1.86
i20*k<zw1a,5,sell,Carrot,2245,   1.08
s08*x<h>1k,8,sell,Okra,2250,   1.82
h01*r<e>3n,9,buy,Marrow,2911,   1.04
lj9*h<y>9r,16,buy,Okra,2508,   1.78
f85*x<m>2o,17,buy,Mooli,663,   2.08
v6k*h<p>6t,7,buy,Potato,2200,   0.91
a98*i<n>3o,21,sell,Mooli,2518,   2.01
s10*r<p>0g,11,sell,Kale,2609,   0.97
m81*q<k>0w,16,sell,Cabbage,2453,   1.94
x12*p<z>6m,22,sell,Cabbage,302,   2.00
z74*o<w>7d,9,sell,Kale,2163,   1.95
j72*j<p>7j,22,sell,Kale,1574,   1.87
s35*s<p>6u,5,sell,Mooli,50,   1.57
r04*q<k>7h,5,buy,Carrot,2703,   1.91
m16*x<u>6g,8,sell,Potato,1512,   1.39
l39*d<q>7y,5,sell,Broccoli,1534,   1.86
m66*a<w>3y,7,sell,Carrot,1899,   1.96
f43*p<a>0c,8,sell,Leek,2909,   2.02
b13*b<n>2i,23,sell,Yam,2300,   1.98
j16*v<w>7e,8,sell,Yam,2519,   1.84
i11*d<c>5v,8,buy,Sprout,1729,   1.98
c64*p<s>6l,8,sell,Marrow,1968,   2.14
v43*k<c>0m,18,sell,Cabbage,1562,   1.47
f94*kxp>8w,13,sell,Parsnip,2023,   1.71
m23*j<n>1d,15,buy,Kale,2028,   0.92
s71*b<o>7m,10,sell,Cabbage,456,   1.92
b66*u<e>0b,18,buy,Carrot,1167,   0.88
z17*i<k>7h,19,sell,Broccoli,2790,   1.45
s63*v<b>6o,6,sell,Parsnip,2394,   2.01
m%5*e<e>3c,6,sell,Cabbage,2816,   2.04
d19*r<h>1k,14,sell,Turnip,2538,   2.03
m18*c<y>2p,10,sell,Swede,2135,   1.68
u39*w<u>7c,20,sell,Sprout,2883,   2.12
w58*k<w>9o,11,sell,Turnip,1657,   1.99
w73*s<i>4w,6,sell,Swede,10,   1.85
f71*q<t>9v,15,sell,Parsnip,2445,   2.13
d06*x<d>7i,10,sell,Pea,2737,   1.82
u51*w<m>4o,5,sell,Broccoli,1678,   2.15
v04*k<h>6i,7,buy,Corn,34,   1.81
a27*o<g>5k,10,buy,Onion,2311,   1.87
s31*u<i>2w,22,buy,Okra,2029,   1.94
b73*y<n>2d,21,sell,Cabbage,1952,   2.14
m02*j<v>2k,5,buy,Leek,1838,   2.05
b06*s<l>0m,8,sell,Okra,831,   1.83
n50*z<g>9l,6,sell,Parsnip,308,   1.85
b66*lUt>8f,7,sell,Turnip,2190,   1.94
e35*x<c>5v,11,sell,Sprout,1561,   1.93
v97*w<k>4e,20,sell,Marrow,33,   1.97
l07*i<m>4v,21,sell,Kale,2175,   2.00
h98*e<t>0c,9,sell,Kale,1265,   1.42
n56*y<f>2k,9,sell,Corn,1997,   1.97
p69*x<s>2e,16,sell,Sprout,71,   2.12
a02*c<z>5t,15,buy,Corn,465,   1.83
c18*w<b>9o,6,buy,Okra,1645,   2.12
001*n<w>7m,9,buy,Turnip,2354,   1.27
r90*h<z>7t,7,sell,Yam,2785,   1.93
d89*t<5>9r,15,sell,Cabbage,2904,   2.01
g61*5<a>2s,6,buy,Pea,2643,   2.12
z77*t<l>3u,11,sell,Parsnip,2846,   1.92
d07*zFf>6m,23,buy,Kale,2210,   1.86
d20*h<k>4z,11,sell,Leek,1839,   1.31
m90*a<q>5n,20,sell,Kale,209,   2.04
g26*s<n>3z,23,sell,Marrow,2007,   1.95
h89*r<d>8m,18,sell,Marrow,1842,   1.52
f26*p<p>9j,5,sell,Marrow,1268,   1.57
g54*b<j>1m,22,sell,Pea,2305,   1.91
n76*m<[>0m,6,buy,Marrow,2288,   1.82
412*q<j>8p,12,buy,Mooli,1587,   2.09
w18*s<t>0j,6,sell,Marrow,1624,   2.11
z04*r<d>1q,22,sell,Yam,2392,   1.46
z34*c<y>1i,24,buy,Parsnip,2402,   1.91
o00*h<k>4a,12,sell,Kale,520,   2.13
v47*w<n>7l,11,sell,Leek,1399,   2.08
e45*q<w>6l,15,sell,Leek,2857,   2.04
i52*p<w>9e,9,sell,Squash,2786,   1.37
y87*f<l>0v,12,sell,Turnip,253,   1.56
l97*o<g>6z,10,buy,Mooli,38,   1.82
k28*o<m>8x,5,sell,Okra,1876,   2.12
q18*m<b>6l,12,sell,Potato,2030,   2.00
a23*h<y>5b,19,buy,Sprout,1417,   1.88
f93*o<r>5v,12,sell,Marrow,383,   0.84
b85*n<s>0c,10,sell,Leek,2070,   1.61
z70*q<z>7m,6,sell,Potato,1909,   1.95
z78*r<n>0o,8,sell,Mooli,661,   1.95
b75*s<k>2t,19,buy,Parsnip,1340,   1.12
075*w<z>6y,21,sell,Pea,786,   1.59
u95*q<q>1i,15,buy,Pea,2900,   2.05
n54*a<u>q,8,sell,Kale,823,   2.10
z66*f<s>5d,10,buy,Marrow,2334,   1.93
h02*b<k>7j,11,buy,Parsnip,2392,   1.84
y63*l<p>3q,21,sell,Sprout,1308,   1.92
t90*n<d>9k,9,sell,Sprout,95,   1.83
y87*d<s>7n,9,sell,Potato,2640,   2.10
y85*w<a>1c,18,sell,Kale,1118,   1.90
a40*r<b>6t,24,sell,Turnip,1389,   1.90
f39*p<v>0a,17,sell,Cabbage,2510,   1.95
c56*i<h>9n,24,sell,Swede,2226,   1.18
f49*x<k>6z,9,sell,Kale,1061,   2.02
w75*k<d>6a,10,buy,Parsnip,127,   1.85
g95*c<a>Ia,11,sell,Corn,372,   1.89
s07*c<n>7q,15,sell,Cabbage,453,   1.82
p19*d<b>5h,6,sell,Sprout,2667,   2.02
p88*n<z>0m,10,sell,Potato,1584,   1.82
g92*p<f>6z,5,sell,Carrot,2943,   1.83
i69*o<h>1g,18,sell,Pea,1005,   1.28
i00*y<r>1z,11,buy,Marrow,1918,   2.13
l41*x<y>1g,9,buy,Swede,1938,   1.96
p77*n<p>7e,11,sell,Cabbage,887,   1.94
d50*v<t>3y,6,sell,Marrow,1241,   1.99
g19*a<f>6f,12,sell,Sprout,633,   1.95
d81*d<d>3p,16,sell,Cabbage,1256,   2.10
k79*c<t>9o,8,sell,Kale,2415,   2.01
r01*p<u>3z,14,sell,Mooli,2045,   2.09
m18*f<t>5x,19,sell,Parsnip,2188,   1.91
c70*g<r>6b,15,sell,Turnip,729,   1.96
t39*q<a>4l,24,sell,Yam,120,   2.14
s68*x<n>5v,6,sell,Mooli,2087,   2.09
u22*j<zx5p,14,buy,Potato,1063,   1.31
h41*g<d>1a,6,sell,Okra,2043,   1.87
c44*f<n>2k,9,sell,Onion,2095,   1.98
u09*v<g>7t,7,sell,Leek,2248,   1.83
n39*a<h>v,10,sell,Swede,2541,   0.95
n92*z<o>2f,9,sell,Swede,1474,   0.85
{83*g<q>0l,11,buy,Pea,2654,   0.85
w45*s<a>1a,12,sell,Pea,2596,   1.98
s25*k<d>5m,13,sell,Mooli,419,   2.03
o26*h<b>8b,19,sell,Corn,2050,   2.02
v29*b<i>0g,5,sell,Mooli,27,   0.92
h76*n<p>3d,23,sell,Corn,2021,   1.05
t18*z<l>3w,24,sell,Potato,2303,   1.88
w13*y<s>3r,10,buy,Parsnip,2650,   2.04
m54*l<r>4p,19,buy,Turnip,2151,   1.61
h68*x<i>9z,12,sell,Leek,1295,   2.11
k91*n<e>3l,20,sell,Marrow,2751,   2.12
l18*j<c>5f,5,sell,Swede,110,   2.00
o87*c<a>3q,6,sell,Yam,554,   1.74
a75*q<j>2u,22,sell,Swede,801,   1.95
z49*b<m>4y,6,sell,Turnip,2940,   1.87
d95uk<c>4p,16,buy,Swede,825,   2.00
d85*g<p>3t,12,buy,Onion,2308,   2.09
w06*s<k>5t,8,sell,Yam,2518,   2.09
k53*p<z>5p,9,sell,Potato,1794,   2.07
i37*x<b>6c,24,sell,Kale,1458,   1.82
h64*h<u>6k,12,sell,Parsnip,2450,   2.10
z67*d<n>1n,13,sell,Turnip,1677,   1.91
w84*p<m>7z,7,sell,Cabbage,2064,   1.94
m16*q<r>4k,17,sell,Marrow,1033,   1.75
u72*u<d>4l,5,sell,Mooli,1922,   1.98
d73*e<x>4e,21,sell,Okra,2182,   1.97
o87*l<d>2g,19,sell,Sprout,2001,   2.06
z97*h<r>4r,8,sell,Kale,1418,   2.03
h91*i<d>9n,13,sell,Marrow,2039,   1.03
v29*r<f>1w,23,sell,Onion,30,   2.05
y78*o<y>7b,15,sell,Cabbage,2316,   2.06
k29*d<t>1h,17,sell,Mooli,1715,   2.00
u68*s<n>0a,14,sell,Parsnip,384,   2.15
u28*c<o>2g,14,buy,Mooli,97,   2.02
z70*o<a>0j,12,sell,Leek,1921,   1.92
w72*o<l>8x,12,sell,Marrow,1872,   2.12
b08*n<i>9k,20,sell,Sprout,2358,   1.04
e94*p<g>6i,20,sell,Parsnip,759,   1.89
f53*r<w>9k,6,sell,Pea,2539,   1.53
b59*i<t>8j,14,sell,Kale,1920,   2.11
w29*p<o>2v,16,buy,Leek,533,   2.04
j46*m<y>8d,15,sell,Cabbage,750,   1.47
n05*t<g>4z,9,sell,Okra,2740,   1.89
h38*q5p>7v,6,sell,Cabbage,799,   1.82
n75*m<t>7u,13,sell,Broccoli,412,   1.94
i88*u<k>2y,16,buy,Broccoli,1276,   1.93
o25*l<s>8s,6,buy,Potato,2172,   1.94
i14*s<L>0q,16,sell,Swede,388,   1.38
m59*p<g>2d,7,sell,Okra,541,   1.04
e59*b<h>9x,11,buy,Marrow,1097,   1.87
z0!*j<h>0l,6,sell,Corn,1447,   1.48
q56*q<p>1a,12,sell,Kale,2298,   2.01
h66*j<a>5s,16,sell,Carrot,1470,   0.82
p29*f<x>1t,7,sell,Squash,2854,   0.93
e69*o<r>7j,5,sell,Potato,1490,   1.47
t91*o<v>7m,10,buy,Parsnip,502,   0.90
k67*n<w>2q,15,sell,Sprout,1806,   2.13
q20*s<b>5f,10,sell,Mooli,1617,   0.81
d35*d<n>5n,23,buy,Mooli,1737,   2.09
g71*q<z>6v,5,sell,Sprout,2033,   2.11
s59*c<w>5l,11,sell,Kale,1592,   1.44
x73*i<m>2k,14,sell,Leek,1333,   2.11
u07*z<f>4x,23,buy,Swede,1717,   1.92
m30*a<v>1t,12,sell,Parsnip,1884,   2.11
t40*m<j>5q,15,buy,Cabbage,254,   2.13
x68*h<r>7n,7,sell,Squash,2760,   2.11
xH1*a<g>9f,11,sell,Parsnip,1152,   0.94
x76*c<y>8l,20,sell,Parsnip,1218,   0.81
h69*n<n>5m,12,sell,Corn,2245,   1.69
s56*y<u>8j,20,sell,Cabbage,2850,   1.95
l64*x<g>9x,7,sell,Kale,2725,   1.89
t94*u<r>2k,15,buy,Okra,1915,   1.93
y35*f<o>5b,5,sell,Corn,219,   1.44
w53*v<e>5f,10,buy,Sprout,1940,   0.88
j01*t<y>5u,10,sell,Swede,2457,   2.15
i20*f<v>3q,5,sell,Cabbage,2181,   1.91
t98*z<i>1u,9,sell,Mooli,1998,   1.92
u61*j<l>2i,18,buy,Squash,1945,   1.89
x78*o<r>4u,14,buy,Kale,2519,   2.10
p36*n<o>5m,13,sell,Marrow,1430,   1.97
s25*w<m>5m,18,sell,Turnip,2759,   2.12
a90*j<o>6r,13,sell,Kale,2969,   1.87
c76*t<b>5i,10,sell,Kale,1760,   2.12
*k87*d<p>9v,18,sell,Pea,2320,   2.06
l54*c<w>2j,11,sell,Turnip,2473,   1.89
a77*s<p>7e,11,sell,Potato,679,   1.67
y25*uzp>9x,21,sell,Parsnip,2725,   1.86
p06*v<z>5x,6,sell,Potato,721,   1.73
p44*d<u>2k,6,sell,Yam,2780,   1.90
c87*h<f>3q,10,sell,Broccoli,694,   0.78
o63*k<b>7n,5,sell,Marrow,961,   2.03
b43*b<e>6m,23,sell,Leek,2843,   1.69
e66*x<n>5s,8,sell,Squash,631,   2.02
c41*r<h>1j,14,buy,Leek,1606,   1.82
j57*h<h>5k,12,sell,Parsnip,116,   2.13
z42*p<l>7h,8,sell,Yam,1248,   1.07
s50*v<t24t,8,sell,Potato,427,   1.65
l90*g<o>8c,16,sell,Sprout,2530,   1.85
j19*v<r>6b,16,sell,Squash,2294,   2.09
s08*o<y>6e,7,sell,Kale,2079,   1.44
g61*t<e>2r,6,sell,Kale,1692,   1.65
j41*a<x>7k,12,buy,Kale,2503,   1.95
t29*z<f>3z,12,sell,Cabbage,972,   1.29
r46*o<o>5q,17,sell,Broccoli,2912,   1.20
o16*q<g>5w,16,sell,Leek,2768,   1.98
f40ul<s>6s,5,sell,Turnip,2749,   1.85
r28*(<y>2j,24,buy,Broccoli,1951,   2.08
s97*j<ra0s,6,buy,Marrow,708,   1.53
o55*j<o>0a,5,buy,Marrow,2440,   1.94
604*n<l>7f,12,sell,Sprout,2980,   0.82
n90*c<l>2q,16,sell,Marrow,2551,   1.89
i18*v<v>6c,23,buy,Squash,1662,   1.41
p85*s<n>0a,8,sell,Parsnip,284,   1.85
c17*u<i>1w,20,sell,Potato,89,   1.93
s26*n<s>7w,5,sell,Kale,653,   2.02
b72*y<o>7p,7,sell,Broccoli,1674,   0.87
k89*s<h>4i,6,sell,Potato,2144,   2.12
z76*n<n>7x,6,sell,Turnip,2800,   2.00
e45*r<jB0h,14,sell,Leek,2137,   1.05
g55*y<d>9x,12,sell,Cabbage,629,   1.81
u39*o<n>6q,9,sell,Yam,1873,   1.99
t87*o<i>1p,9,sell,Swede,575,   2.14
d15ws<m>6e,12,sell,Squash,1081,   1.36
v72*d<c>7q,13,buy,Cabbage,1125,   2.04
h32*n<b>5q,18,buy,Kale,946,   0.75
q63vh<u>4r,7,sell,Potato,2824,   1.26
t24*c<g>6a,15,buy,Kale,1540,   1.29
g03*p<j>3j,11,sell,Okra,2708,   1.07
e13*o<h>6l,20,sell,Yam,1727,   1.84
j43*s<a>1g,12,buy,Parsnip,2366,   1.65
c52*z<m>1h,13,sell,Cabbage,1486,   2.05
g66*m<d>5s,12,buy,Parsnip,2115,   0.83
l22*s<g>5q,20,sell,Kale,1205,   2.02
a74*n<o>6j,5,buy,Yam,1828,   1.92
x07*l<x>0z,6,sell,Cabbage,1034,   2.07
g47*r<p>7t,17,sell,Cabbage,205,   2.00
x43*a<t>7f,7,sell,Squash,45,   1.22
m40*g<n>2k,9,sell,Swede,2425,   1.98
r54*v<i>8d,6,buy,Turnip,1561,   2.02
b21*t<b>5n,9,sell,Cabbage,1333,   1.85
v12*j<p>1e,13,sell,Broccoli,440,   2.09
e28*n<i>4n,12,sell,Carrot,2003,   2.00
c75*n<o>0z,11,sell,Potato,2997,   2.06
s52*e<m>9z,5,sell,Okra,2886,   1.45
w76*g<h>0j,17,sell,Cabbage,2629,   1.86
g28*x<i>8a,5,sell,Broccoli,1988,   1.93
b63*z<p>5p,19,sell,Mooli,1890,   1.69
t71*k<j>8u,5,sell,Beetroot,934,   1.42
p13*f<s>7g,20,sell,Swede,979,   1.79
t25*f<w>0p,18,sell,Marrow,759,   1.30
u17Ek<i>1p,12,sell,Cabbage,2181,   1.27
h91*h<b>7o,17,buy,Okra,597,   1.85
g67*y<a>6m,7,sell,Sprout,2969,   1.82
f64*z<w>8z,5,buy,Okra,1785,   1.76
e38*r<2>6p,9,sell,Carrot,1891,   1.82
i21*j<m>8h,23,sell,Okra,2701,   1.98
f53*w<s>7c,14,sell,Corn,2000,   1.83
j84*y<c>9h,11,sell,Marrow,1936,   2.10
m07*m<f>4o,20,sell,Kale,1584,   1.92
p63*t<u>8c,15,sell,Parsnip,1374,   1.34
h29*y<w>8q,7,sell,Potato,2499,   1.87
l28*jdd>8i,10,sell,Okra,1903,   1.93
k89*uk>2j,8,buy,Marrow,553,   1.81
x56*h<e>2v,7,sell,Corn,448,   1.50
p19lk<a>8g,20,sell,Marrow,2231,   1.86
i03*s<u>8w,8,buy,Carrot,2720,   1.48
e39*o<g>2a,22,buy,Cabbage,2261,   2.04
b27*z<i>2f,10,buy,Leek,1832,   2.15
j01*m<x>6r,11,sell,Cabbage,1996,   1.96
q01*j<n>0p,11,sell,Broccoli,1677,   1.82
w20*s<w>4t,9,sell,Swede,575,   2.07
i08*t<d>7g,24,sell,Squash,2799,   2.02
q09*u<w>7x,19,buy,Corn,1950,   2.15
p78*q<a>8m,23,sell,Pea,2388,   1.97
h19*s<s9s,10,sell,Leek,2248,   1.84
x02*v<j>6z,14,sell,Marrow,1236,   2.10
r97*o<l>3g,6,sell,Marrow,657,   1.30
e91*v<m>4i,24,sell,Corn,1678,   1.97
s10Yt<o>5v,7,sell,Carrot,747,   1.29
d01*y<f>3n,6,buy,Swede,2049,   1.89
w64*h<z>7q,18,sell,Marrow,1890,   2.08
b78*b<g>7z,16,buy,Yam,537,   2.10
t99*t<f>1x,5,sell,Cabbage,2071,   2.09
f72*f<j>2v,16,sell,Marrow,107,   1.01
u11*s<w>5a,21,sell,Turnip,2373,   2.07
a14*w<f>8e,12,sell,Yam,1921,   1.95
x82*e<F>5j,17,sell,Swede,1184,   1.38
o02*l<g>9e,23,sell,Pea,2368,   2.01
z28*e<c>4j,14,sell,Sprout,2222,   1.95
z18*t<n>7p,10,sell,Pea,1877,   2.14
c85*4<q>2m,23,buy,Kale,430,   1.48
b6h1*q<d>1v,10,sell,Sprout,399,   1.84
x26*x<u>4v,10,buy,Okra,2795,   1.93
p48*b<f>5e,14,buy,Turnip,2623,   2.00
c35*e<i>1e,15,sell,Corn,906,   1.99
l46*xla>4w,9,buy,Parsnip,2507,   1.92
s3J*y<l>9f,7,sell,Carrot,2540,   2.12
z67*s<b>7e,5,sell,Potato,701,   1.10
t62*t<v>5f,5,sell,Turnip,1956,   0.84
w69*t<e>7w,5,sell,Cabbage,2534,   1.86
a06*o<p>0o,11,sell,Sprout,2755,   1.26
t55*v<u>6l,11,buy,Yam,1338,   1.69
m90*v<k>3e,21,sell,Kale,2699,   2.03
e31*l<f>9j,15,buy,Swede,1230,   2.08
z61*x<p>7g,21,sell,Potato,2925,   1.42
e94*a<r>0w,13,sell,Potato,2537,   0.97
p80*d<s>9j,8,sell,Leek,2113,   2.02
l09*m<z>2g,10,sell,Squash,2949,   1.87
o71*a<x>1t,23,sell,Cabbage,2654,   2.00
y37*k<s>1w,10,buy,Cabbage,1861,   0.80
b71*k<x>5c,9,buy,Pea,2131,   2.04
x50*w<c>5c,8,sell,Kale,102,   1.29
j78*p<e>3i,14,buy,Potato,1487,   2.09
y*0*i<a>9o,13,sell,Kale,580,   1.29
x44*j<z>5u,8,sell,Leek,1457,   1.91
d95*o<k>0i,12,sell,Mooli,2650,   2.07
a34*e<a>2l,22,sell,Swede,1655,   1.19
g19*l<a>4n,20,sell,Sprout,2712,   2.10
n52*y<a>5e,20,buy,Pea,339,   1.56
d47*k<v02k,10,sell,Parsnip,414,   1.98
g44*Y<e>6b,9,buy,Leek,1582,   1.79
c80*g<p>5s,23,buy,Parsnip,475,   2.05
j22*w<t>8e,6,sell,Swede,1432,   2.12
d97*e<w>8h,12,sell,Corn,730,   2.06
e64*a<d>4e,6,buy,Beetroot,1228,   1.97
l68*a<y>7u,5,sell,Corn,1742,   1.86
y95*h<x>8n,12,sell,Kale,1278,   2.11
m1R*k<g>8r,8,sell,Yam,983,   1.92
r45*p<f>6f,21,buy,Yam,2361,   1.85
n62*z<u>4k,11,buy,Leek,2488,   2.13
eq77*t<h>6u,9,sell,Corn,1007,   1.20
z14*h<m>9j,21,buy,Potato,2902,   2.13
z21*a<w>7t,22,buy,Mooli,374,   1.09
a01*o<g>2j,16,sell,Leek,2605,   2.15
t82*y<q>5z,11,sell,Marrow,2669,   1.74
w01*a<a>5u,24,sell,Parsnip,2669,   1.96
b9~*w<x>1o,6,sell,Okra,491,   2.11
a60*s<w>4r,23,sell,Kale,2808,   1.13
q00*a<h>4v,22,buy,Parsnip,372,   1.86
a12*z<b>7v,14,sell,Swede,2698,   1.99
f13*o<s>5e,10,sell,Yam,703,   2.11
j71*g<z>9p,7,sell,Swede,2862,   1.32
c25*u<h>8v,6,sell,Potato,1233,   1.83
z86*q<n>6o,7,buy,Turnip,1882,   1.87
u02*c<e>7r,16,sell,Kale,2868,   1.94
m62*f<x>0n,11,buy,Pea,2775,   1.92
g27*w<c>4d,7,sell,Leek,1083,   2.08
j53*i<m>9j,21,sell,Swede,1028,   1.50
g25*l<b>5t,11,sell,Okra,1522,   2.09
x31*e<y>2v,7,sell,Cabbage,2671,   1.81
u85*Ou<x>6j,23,buy,Leek,2534,   1.59
x64*r<p>1n,9,sell,Onion,541,   1.82
w93*k<f>9r,9,sell,Leek,2927,   2.08
